16;Казань, Блюхера 79 ;ТКО;55.825624499999996;49.07514920000001;Московский район;УК «ЖКХ Московский район»
17;Казань, Чистопольская 61А;БД;55.81975260000001;49.1325449;Ново-Савиновский район;УК «УЮТНЫЙ ДОМ ГРУПП»
18;Казань, Химиков 19 ;БД;55.86768025;49.01593530215419;Московский район;УК «Управляющая компания Райжилуправления Советского района»
19;Казань, Кариева 4а к2, подъезд  1 ;БД;55.784263;49.185708;Советский район;УК «Управляющая компания Райжилуправления Советского района»
20;Казань, Кариева 4а к2, подъезд  2 ;БД;55.784364000000004;49.185636;Советский район;УК «Управляющая компания Райжилуправления Советского района»
21;Казань, Родины 26Е, подъезд  1 ;БД;55.763124;49.191521;Советский район;УК «Управляющая компания Райжилуправления Советского района»
22;Казань, Родины 26Е, подъезд  2;БД;55.763420999999994;49.191162;Советский район;УК «Управляющая компания Райжилуправления Советского района»
23;Казань, Симонова 15, подъезд  1 ;БД;55.865815000000005;49.086074;Авиастроительный район;УК «Управляющая компания Райжилуправления Советского района»
24;Казань, ул. Чапаева 11 ;БД;55.89704770000001;49.12944265777198;Авиастроительный район;УК «Управляющая компания Райжилуправления Советского района»
25;Казань, ул. Чапаева 16;БД;55.86351345;49.0832581;Авиастроительный район;УК «Управляющая компания Райжилуправления Советского района»
26;Казань, ул. Чапаева 16;БД;55.863293999999996;49.083246;Авиастроительный район;УК «Управляющая компания Райжилуправления Советского района»
27;Казань, ул. Побежимова 36, подъезд  1 ;БД;55.860504000000006;49.082923;Авиастроительный район;УК «Управляющая компания Райжилуправления Советского района»
28;Казань, ул. Побежимова 36, подъезд  3;БД;55.860288;49.082858;Авиастроительный район;УК «ЖиК»
29;Казань, ул. Побежимова 36, подъезд  4;БД;55.86029;49.082513;Авиастроительный район;УК «ЖиК»
30;Казань, ул. Побежимова 36, подъезд  5;БД;55.860342;49.082207000000004;Авиастроительный район;УК «ЖиК»
31;Казань, ул. Побежимова 36, подъезд  6;БД;55.860388;49.081934000000004;Авиастроительный район;УК «ЖКХ Авиастроительного района»
32;Казань, ул. Побежимова 36, подъезд  7;БД;55.86048;49.081593;Авиастроительный район;УК «ЖКХ Авиастроительного района»
33;Казань, ул. Побежимова 36, подъезд  2 ;БД;55.860696;49.081744;Авиастроительный район;УК «ЖКХ Авиастроительного района»
34;Казань, ул. Побежимова 36;БД;55.860353;49.081272999999996;Авиастроительный район;УК «ЖКХ Авиастроительного района»
35;Казань, ул. Побежимова 36;БД;55.860094999999994;49.082964000000004;Авиастроительный район;УК «ЖКХ Авиастроительного района»
36;Казань, ул. Побежимова 36;БД;55.86016;49.081534000000005;Авиастроительный район;УК «ЖКХ Авиастроительного района»
37;Казань, ул. Побежимова 36;БД;55.859936;49.083276;Авиастроительный район;УК «ЖКХ Авиастроительного района»
38;Казань, ул. Побежимова 36;БД;55.860629;49.083560999999996;Авиастроительный район;УК «ЖКХ Авиастроительного района»
39;Казань, ул. Побежимова 36;БД;55.859917;49.082073;Авиастроительный район;УК «ЖКХ Авиастроительного района»
40;г. Казань, Проспект Победы д. 139, корпус 3;БД;55.77576800000001;49.216467;Советский район;УК «СТАРЫЙ ГОРОД»
41;г. Казань, ул. Вишневского, д. 49;БД;55.785174;49.151042;Вахитовский район;УК «СТАРЫЙ ГОРОД»
42;г. Казань, Даурская улица, 24;БГ;55.763462;49.165694;Советский район;УК «СТАРЫЙ ГОРОД»
43;г. Казань, улица Рабочей Молодёжи, 6;БГ;55.779575;49.153296999999995;Вахитовский район;УК «Управляющая компания Вахитовского района»
44;г. Казань, улица Рабочей Молодёжи, 18;БГ;55.780335;49.153495;Вахитовский район;УК «Управляющая компания Вахитовского района»
45;г. Казань, улица Рабочей Молодёжи, 22;БГ;55.781023;49.153836;Вахитовский район;УК «Управляющая компания Вахитовского района»
46;г. Казань, ул. Баумана, д.47;БГ;55.788171;49.120383000000004;Вахитовский район;УК «Управляющая компания Вахитовского района»
47;г. Казань, улица Богатырёва, 8;БГ;55.8161065;49.05698087010197;Кировский район;УК «Управляющая компания Вахитовского района»
48;г. Казань, улица Рустема Яхина, 8;БГ;55.789676;49.101469;Вахитовский район;УК «Управляющая компания Вахитовского района»
49;г. Казань ,улица Баумана, 36;БГ;55.793018999999994;49.109774;Вахитовский район;УК «Управляющая компания Вахитовского района»
50;г. Казань, улица Баумана, 9/11;БГ;55.792593999999994;49.111489;Вахитовский район;УК «Управляющая компания Вахитовского района»
51;г. Казань ул. Дементьева, д. 33;БГ;55.860105000000004;49.101805999999996;Авиастроительный район;УК «УЮТСЕРВИС»
52;г. Казань, территория Озеро Лебяжье, 1А;БГ;55.83799499999999;48.965271;Кировский район;УК «УЮТСЕРВИС»
53;г. Казань ул. Кремлевская, д. 2 ;БГ;55.795761999999996;49.109603;Вахитовский район;УК «УПРАВЛЯЮЩАЯ КОМПАНИЯ РАН СЕРВИС»
54;г. Казань, ул. Молодежная д.8;БГ;55.862793;49.099731;Авиастроительный район;УК «УПРАВЛЯЮЩАЯ КОМПАНИЯ РАН СЕРВИС»
55;г. Казань,улица Николая Ершова, 4/2;БГ;55.792215;49.152228;Вахитовский район;УК «УПРАВЛЯЮЩАЯ КОМПАНИЯ РАН СЕРВИС»
56;г. Казань, ул. Пушкина д.17;БГ;55.788844;49.123437;Вахитовский район;УК «УПРАВЛЯЮЩАЯ КОМПАНИЯ РАН СЕРВИС»
57;г. Казань, улица Гаяза Исхаки, 1;БГ;55.789765;49.102731;Вахитовский район;УК «УПРАВЛЯЮЩАЯ КОМПАНИЯ РАН СЕРВИС»
